CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000010,Mapper-0-11,N/A,12.4097299576,12.4253659248,12.4269249439,580.74784708,585.004880905,0.006896,unit.000011,Mapper-0-12,N/A,12.6731059551,12.6887259483,12.6903281212,558.441821098,563.366910934,0.057062,437.624686,0.004419,unit.000011,Mapper-0-12,N/A,12.6731059551,12.6887259483,12.6903281212,558.441821098,563.366910934,437.624686,0.004419,unit.000012,Mapper-0-13,N/A,12.8902299404,12.9060199261,12.9075679779,296.320122957,423.609239101,0.033124,273.646052,0.00518
unit.000011,Mapper-0-12,N/A,12.6731059551,12.6887259483,12.6903281212,558.441821098,563.366910934,0.004419,unit.000012,Mapper-0-13,N/A,12.8902299404,12.9060199261,12.9075679779,296.320122957,423.609239101,0.033124,273.646052,0.00518,unit.000012,Mapper-0-13,N/A,12.8902299404,12.9060199261,12.9075679779,296.320122957,423.609239101,273.646052,0.00518,unit.000013,Mapper-0-14,N/A,12.562664032,12.5784580708,12.5800549984,605.50671196,610.504889011,0.026133,586.431235,0.004821
unit.000012,Mapper-0-13,N/A,12.8902299404,12.9060199261,12.9075679779,296.320122957,423.609239101,0.00518,unit.000013,Mapper-0-14,N/A,12.562664032,12.5784580708,12.5800549984,605.50671196,610.504889011,0.026133,586.431235,0.004821,unit.000013,Mapper-0-14,N/A,12.562664032,12.5784580708,12.5800549984,605.50671196,610.504889011,586.431235,0.004821,unit.000014,Mapper-0-15,N/A,12.5318329334,12.5473561287,12.5489990711,716.075251102,736.927350998,0.0242,679.414007,0.005264
unit.000013,Mapper-0-14,N/A,12.562664032,12.5784580708,12.5800549984,605.50671196,610.504889011,0.004821,unit.000014,Mapper-0-15,N/A,12.5318329334,12.5473561287,12.5489990711,716.075251102,736.927350998,0.0242,679.414007,0.005264,unit.000014,Mapper-0-15,N/A,12.5318329334,12.5473561287,12.5489990711,716.075251102,736.927350998,679.414007,0.005264,unit.000015,Mapper-0-16,N/A,12.4856779575,12.501511097,12.5031099319,736.48102808,741.918756008,0.022648,680.729287,0.005262
unit.000014,Mapper-0-15,N/A,12.5318329334,12.5473561287,12.5489990711,716.075251102,736.927350998,0.005264,unit.000015,Mapper-0-16,N/A,12.4856779575,12.501511097,12.5031099319,736.48102808,741.918756008,0.022648,680.729287,0.005262,unit.000015,Mapper-0-16,N/A,12.4856779575,12.501511097,12.5031099319,736.48102808,741.918756008,680.729287,0.005262,unit.000016,Mapper-0-17,N/A,12.4252870083,12.4404640198,12.4420690536,741.70499897,757.405560017,0.02215,685.343076,0.00537
unit.000015,Mapper-0-16,N/A,12.4856779575,12.501511097,12.5031099319,736.48102808,741.918756008,0.005262,unit.000016,Mapper-0-17,N/A,12.4252870083,12.4404640198,12.4420690536,741.70499897,757.405560017,0.02215,685.343076,0.00537,unit.000016,Mapper-0-17,N/A,12.4252870083,12.4404640198,12.4420690536,741.70499897,757.405560017,685.343076,0.00537,unit.000017,Mapper-0-18,N/A,12.3930749893,12.409774065,12.4135251045,700.142071009,716.585181952,0.025235,676.733453,0.004912
unit.000016,Mapper-0-17,N/A,12.4252870083,12.4404640198,12.4420690536,741.70499897,757.405560017,0.00537,unit.000017,Mapper-0-18,N/A,12.3930749893,12.409774065,12.4135251045,700.142071009,716.585181952,0.025235,676.733453,0.004912,unit.000017,Mapper-0-18,N/A,12.3930749893,12.409774065,12.4135251045,700.142071009,716.585181952,676.733453,0.004912,unit.000018,Mapper-0-19,N/A,12.7259421349,12.7409050465,12.7424499989,444.998057127,456.089859009,0.068392,276.532664,0.004258
unit.000017,Mapper-0-18,N/A,12.3930749893,12.409774065,12.4135251045,700.142071009,716.585181952,0.004912,unit.000018,Mapper-0-19,N/A,12.7259421349,12.7409050465,12.7424499989,444.998057127,456.089859009,0.068392,276.532664,0.004258,unit.000018,Mapper-0-19,N/A,12.7259421349,12.7409050465,12.7424499989,444.998057127,456.089859009,276.532664,0.004258,unit.000019,Mapper-0-20,N/A,12.4705140591,12.4857361317,12.487347126,572.343249083,576.659914017,0.02506,553.217672,0.008746
unit.000018,Mapper-0-19,N/A,12.7259421349,12.7409050465,12.7424499989,444.998057127,456.089859009,0.004258,unit.000019,Mapper-0-20,N/A,12.4705140591,12.4857361317,12.487347126,572.343249083,576.659914017,0.02506,553.217672,0.008746,unit.000019,Mapper-0-20,N/A,12.4705140591,12.4857361317,12.487347126,572.343249083,576.659914017,553.217672,0.008746,unit.000020,Mapper-0-21,N/A,12.6580770016,12.6731650829,12.6748011112,498.690414906,511.343994141,0.032968,368.317447,0.006359
unit.000019,Mapper-0-20,N/A,12.4705140591,12.4857361317,12.487347126,572.343249083,576.659914017,0.008746,unit.000020,Mapper-0-21,N/A,12.6580770016,12.6731650829,12.6748011112,498.690414906,511.343994141,0.032968,368.317447,0.006359,unit.000020,Mapper-0-21,N/A,12.6580770016,12.6731650829,12.6748011112,498.690414906,511.343994141,368.317447,0.006359,unit.000021,Mapper-0-22,N/A,12.6887300014,12.71043396,12.7121899128,549.268069983,556.630239964,0.031747,417.011826,0.004334
