CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000021,Mapper-0-22,N/A,16.0286719799,16.148608923,16.176762104,702.160534143,707.78233099,667.003798,0.068655,unit.000022,Mapper-0-23,N/A,12.7672889233,12.8311131001,12.8657419682,626.250121117,633.504190922,0.015011,601.825602,0.013739
unit.000022,Mapper-0-23,N/A,12.7672889233,12.8311131001,12.8657419682,626.250121117,633.504190922,601.825602,0.013739,unit.000023,Mapper-0-24,N/A,16.693269968,18.1235311031,18.1608059406,484.212769032,490.734097004,0.037962,455.09934,0.012912
unit.000023,Mapper-0-24,N/A,16.693269968,18.1235311031,18.1608059406,484.212769032,490.734097004,455.09934,0.012912,unit.000024,Mapper-0-25,N/A,20.4150390625,21.2739949226,21.2963070869,358.982532978,371.503024101,0.048873,278.152705,0.013103
unit.000024,Mapper-0-25,N/A,20.4150390625,21.2739949226,21.2963070869,358.982532978,371.503024101,278.152705,0.013103,unit.000025,Mapper-0-26,N/A,18.0909061432,18.1708741188,18.2051389217,450.464834929,458.353559017,0.035814,408.075587,0.013001
unit.000025,Mapper-0-26,N/A,18.0909061432,18.1708741188,18.2051389217,450.464834929,458.353559017,408.075587,0.013001,unit.000026,Mapper-0-27,N/A,16.6871399879,16.7747840881,16.8057229519,402.109033108,408.777251959,0.04923,376.449859,0.012364
unit.000026,Mapper-0-27,N/A,16.6871399879,16.7747840881,16.8057229519,402.109033108,408.777251959,376.449859,0.012364,unit.000027,Mapper-0-28,N/A,21.9460859299,22.0097520351,22.0731019974,384.236665964,392.203387976,0.016757,357.070445,0.013027
unit.000027,Mapper-0-28,N/A,21.9460859299,22.0097520351,22.0731019974,384.236665964,392.203387976,357.070445,0.013027,unit.000028,Mapper-0-29,N/A,21.2353169918,21.3431420326,21.3609690666,442.090440989,446.807338953,0.036247,406.004112,0.01335
unit.000028,Mapper-0-29,N/A,21.2353169918,21.3431420326,21.3609690666,442.090440989,446.807338953,406.004112,0.01335,unit.000029,Mapper-0-30,N/A,20.4079611301,20.4850149155,20.5110509396,391.566427946,398.010612965,0.021318,364.802344,0.014118
unit.000029,Mapper-0-30,N/A,20.4079611301,20.4850149155,20.5110509396,391.566427946,398.010612965,364.802344,0.014118,unit.000030,Mapper-0-31,N/A,19.4909040928,19.5518119335,19.5769069195,478.208064079,485.087683916,0.045424,442.932166,0.013921
unit.000030,Mapper-0-31,N/A,19.4909040928,19.5518119335,19.5769069195,478.208064079,485.087683916,442.932166,0.013921,unit.000031,Mapper-0-32,N/A,12.8164961338,12.9668741226,12.9993309975,466.080214977,471.280062914,0.014075,420.00869,0.021286
unit.000031,Mapper-0-32,N/A,12.8164961338,12.9668741226,12.9993309975,466.080214977,471.280062914,420.00869,0.021286,unit.000032,Reducer-0,N/A,745.719990969,747.106059074,747.154365063,756.374722958,762.760007143,2.010041,2.286673,0.01194
unit.000032,Reducer-0,N/A,745.719990969,747.106059074,747.154365063,756.374722958,762.760007143,2.286673,0.01194,unit.000033,Mapper-1-1,N/A,802.684346914,803.390181065,803.408178091,1181.72435498,1191.83454204,0.118226,305.955256,0.012332
unit.000033,Mapper-1-1,N/A,802.684346914,803.390181065,803.408178091,1181.72435498,1191.83454204,305.955256,0.012332,unit.000034,Mapper-1-2,N/A,778.890051126,779.232594967,779.284613132,1336.1555481,1342.65972614,0.007381,554.669572,0.014297
unit.000034,Mapper-1-2,N/A,778.890051126,779.232594967,779.284613132,1336.1555481,1342.65972614,554.669572,0.014297,unit.000035,Mapper-1-3,N/A,799.523334026,799.546355009,799.594646931,1169.92118192,1181.98970699,0.108143,307.824607,0.012515
unit.000035,Mapper-1-3,N/A,799.523334026,799.546355009,799.594646931,1169.92118192,1181.98970699,307.824607,0.012515,unit.000036,Mapper-1-4,N/A,797.946413994,798.029420137,798.056038141,1142.50013709,1170.12951398,0.039529,308.346548,0.012476
unit.000036,Mapper-1-4,N/A,797.946413994,798.029420137,798.056038141,1142.50013709,1170.12951398,308.346548,0.012476,unit.000037,Mapper-1-5,N/A,796.483317137,796.563338041,796.609873056,1218.44254708,1228.69268608,0.0861,367.540818,0.013712
unit.000037,Mapper-1-5,N/A,796.483317137,796.563338041,796.609873056,1218.44254708,1228.69268608,367.540818,0.013712,unit.000038,Mapper-1-6,N/A,803.484820127,803.531790972,803.556570053,1265.92857695,1276.50150013,0.092098,444.416608,0.012668
unit.000038,Mapper-1-6,N/A,803.484820127,803.531790972,803.556570053,1265.92857695,1276.50150013,444.416608,0.012668,unit.000039,Mapper-1-7,N/A,803.376073122,803.490581989,803.522999048,1259.55801296,1266.47979903,0.106195,400.918676,0.012943
