CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000047,Mapper-1-15,N/A,1115.19451499,1115.22198105,1508.36000705,1858.04229903,1859.60041595,0.005465,275.523359,0.011085
unit.000048,Mapper-1-16,N/A,1095.50890708,1095.5305481,1100.36000705,1491.45096397,1492.78481793,0.005408,271.653545,0.010443
unit.000049,Mapper-1-17,N/A,1120.93460011,1120.94566393,1815.36000705,2109.72185993,2112.99356413,0.005256,266.438007,0.011128
unit.000050,Mapper-1-18,N/A,1104.32820415,1104.34885812,1117.36000705,1513.97371912,1515.16951895,0.005268,271.164669,0.011121
unit.000051,Mapper-1-19,N/A,1115.964113,1116.02212214,1512.36000705,1899.06307507,1900.27201009,0.005265,282.357732,0.011347
unit.000052,Mapper-1-20,N/A,1102.72082806,1102.73293996,1112.36000705,1478.893399,1480.53141093,0.005133,273.523338,0.235187
unit.000053,Mapper-1-21,N/A,1100.50936794,1100.52079701,1111.36000705,1513.87101507,1515.151968,0.005194,271.906469,0.010703
unit.000054,Mapper-1-22,N/A,1097.77847815,1097.78913212,1105.36000705,1447.65132403,1449.19954395,0.005318,272.181047,0.011421
unit.000055,Mapper-1-23,N/A,1112.84258795,1112.85348511,1509.36000705,1873.58699298,1875.40097499,0.005236,270.158369,0.011718
unit.000056,Mapper-1-24,N/A,1109.86810017,1109.87920499,1485.36000705,1801.24201512,1803.07241607,0.005432,275.203827,0.011175
unit.000057,Mapper-1-25,N/A,1117.31666803,1117.3285141,1519.36000705,1897.45659113,1900.186517,0.005216,273.436678,0.01139
unit.000058,Mapper-1-26,N/A,1109.85678315,1109.86833811,1484.36000705,1890.73412013,1892.06802702,0.005207,283.051365,0.011157
unit.000059,Mapper-1-27,N/A,1112.83086014,1112.84287405,1503.36000705,1847.21149111,1848.74627805,0.005237,274.026686,0.010788
unit.000060,Mapper-1-28,N/A,1117.32818604,1117.33916807,1521.36000705,1893.74381614,1895.461308,0.005222,274.602856,0.011591
unit.000061,Mapper-1-29,N/A,1105.68559909,1105.69910407,1119.36000705,1497.45960307,1499.32409906,0.005194,278.298088,0.032438
unit.000062,Mapper-1-30,N/A,1119.59029508,1119.60174608,1528.36000705,1897.35430193,1898.83923817,0.005649,273.838156,0.011585
unit.000063,Mapper-1-31,N/A,1099.31600904,1099.32720709,1107.36000705,1516.49212193,1519.74079609,0.005263,275.24665,0.011198
unit.000064,Mapper-1-32,N/A,1116.02192497,1116.03254509,1520.36000705,1875.69536209,1877.762712,0.005099,288.358427,0.011262
unit.000065,Reducer-1,N/A,2123.75273514,2124.28323197,2129.36000705,2142.60315704,2146.84895015,1.941972,2.516798,0.006716
